station_id,name_th,name_en,area_th,area_en,station_type,lat,long,date,time,pm25_color_id,pm25_aqi,pm25_value
02t,มหาวิทยาลัยราชภัฏบ้านสมเด็จเจ้าพระยา,Bansomdejchaopraya Rajabhat University,"แขวงหิรัญรูจี เขตธนบุรี, กรุงเทพฯ","Hiran Ruchi, Khet Thon Buri, Bangkok",GROUND,13.732846,100.487662,2024-05-08,22:00,2,43,22.2
03t,ริมถนนทางหลวงหมายเลข 3902 ,Highway NO.3902 km.13 +600,"ริมถนนกาญจนาภิเษก เขตบางขุนเทียน, กรุงเทพฯ","Kanchanaphisek Rd, Bang Khun Thian, Bangkok",GROUND,13.636514,100.414262,2024-05-08,17:00,3,71,30.1
05t,กรมอุตุนิยมวิทยาบางนา,Thai Meteorological Department ,"แขวงบางนา เขตบางนา, กรุงเทพฯ","Bang Na, Khet Bang Na, Bangkok",GROUND,13.666183,100.605742,2024-05-08,22:00,3,60,27.5
11t,การเคหะชุมชนห้วยขวาง ,National Housing  Huaykwang,"แขวงดินแดง เขตดินแดง, กรุงเทพฯ","Din Daeng, Khet Din Daeng, Bangkok",GROUND,13.77553,100.569195,2024-05-08,22:00,2,50,24.9
12t,โรงเรียนนนทรีวิทยา ,Nonsi Witthaya School,"แขวงช่องนนทรี เขตยานนาวา, กรุงเทพฯ","Chong Nonsi, Khet Yannawa, Bangkok",GROUND,13.70806667,100.5473333,2024-05-08,22:00,2,36,19.1
50t,โรงพยาบาลจุฬาลงกรณ์,Chulalongkorn Hospital,"ริมถนนพระราม 4 เขตปทุมวัน, กรุงเทพฯ","Rama IV Rd. Khet Pathum Wan, Bangkok",GROUND,13.729852,100.536501,2024-05-08,22:00,3,57,26.5
52t,การไฟฟ้าย่อยธนบุรี ,Thonburi Power Sub-Station,"ริมถนนอินทรพิทักษ์ เขตธนบุรี, กรุงเทพฯ","Intarapitak Rd. Khet Thon Buri, Bangkok",GROUND,13.727622,100.486568,2024-05-08,22:00,2,47,23.9
53t,สถานีตำรวจนครบาลโชคชัย ,Chokchai Police Station,"ริมถนนลาดพร้าว เขตวังทองหลาง, กรุงเทพฯ","Lat Phrao Rd. Khet Wang Thonglang, Bangkok",GROUND,13.7954248,100.5930298,2024-05-08,22:00,2,42,21.6
54t,การเคหะชุมชนดินแดง ,National Housing Authority Dindaeng,"ริมถนนดินแดง เขตดินแดง, กรุงเทพฯ","Din Daeng Rd. Khet Din Daeng, Bangkok",GROUND,13.76251667,100.5502,2024-05-08,22:00,3,81,32.8
59t,กรมประชาสัมพันธ์,The Government Public Relations Department ,"แขวงพญาไท เขตพญาไท, กรุงเทพฯ","Phaya Thai, Khet Phaya Thai, Bangkok",GROUND,13.783185,100.540489,2024-05-08,22:00,1,25,14.7
61t,โรงเรียนบดินทรเดชา (สิงห์ สิงหเสนี) ,Bodindecha Sing Singhaseni School,"แขวงพลับพลา เขตวังทองหลาง, กรุงเทพฯ","Pubpla, Khet Wang Thonglang, Bangkok",GROUND,13.769634,100.614567,2024-05-08,22:00,2,38,20.2
bkp100t,สำนักงานเขตบึงกุ่ม,"Bueng Kum District Office, Bangkok",แขวงคลองกุ่ม เขตบึงกุ่ม,"Khlong Kum, Bueng Kum, Bangkok",BKK,13.785212,100.669183,2024-05-08,22:00,2,34,18.5
bkp101t,สำนักงานเขตคลองสามวา,"Khlong Sam Wa District Office, Bangkok","เขตคลองสามวา, กรุงเทพฯ","Khlong Sam Wa, Bangkok",BKK,13.859911,100.704002,2024-05-08,22:00,3,73,30.7
bkp102t,สำนักงานเขตจอมทอง,"Chomthong District Office, Bangkok","เขตจอมทอง, กรุงเทพฯ","Chomthong, Bangkok",BKK,13.677757,100.483861,2024-05-08,22:00,2,42,21.7
bkp103t,สำนักงานเขตบางพลัด,"Bang Phlat District Office, Bangkok","ริมถนนจรัญสนิทวงศ์ เขตบางพลัด, กรุงเทพฯ","Charansanitwong Roadside, Bangkok",BKK,13.793965,100.504956,2024-05-08,22:00,3,53,25.6
bkp104t,สำนักงานเขตบางแค,"Bang Khae District Office, Bangkok","เขตบางแค, กรุงเทพฯ","Bang Khae, Bangkok",BKK,13.696314,100.409049,2024-05-08,22:00,2,34,18.3
bkp105t,สำนักงานเขตบางขุนเทียน,"Bang Khun Thian District Office, Bangkok","ริมถนนพระราม 2 เขตบางขุนเทียน, กรุงเทพฯ","RamaII Roadside,  Bang Khun Thian, Bangkok",BKK,13.659908,100.435902,2024-05-08,22:00,3,62,28.0
bkp112t,สำนักงานเขตบางคอแหลม (Mobile),"Bang Kho Laem District Office, Bangkok (Mobile)","เขตบางคอแหลม, กรุงเทพฯ","Bang Kho Laem, Bangkok",BKK,13.69304,100.50244,2024-05-08,22:00,2,40,20.9
bkp116t,สวนจตุจักร ถนนพหลโยธิน แขวงจตุจักร เขตจตุจักร,Chatuchak Park,สวนจตุจักร เขตจตุจักร,"Chatuchak Park, Chatuchak, Bangkok",BKK,13.802546,100.5509191,2024-05-08,22:00,2,34,18.4
bkp119t,อุทยานเบญจสิริ,Benchasiri Park,อุทยานเบญจสิริ เขตคลองเตย,"Benchasiri Park, Klong Toei, Bangkok",BKK,13.7304916,100.5684634,2024-05-08,22:00,2,36,19.2
bkp120t,สวนรมณีย์ทุ่งสีกัน,Rommani Thungsikan Park,สวนรมณีย์ทุ่งสีกัน เขตดอนเมือง,"Rommani Thungsikan Park, Don Mueang, Bangkok",BKK,13.9288678,100.5684666,2024-05-08,22:00,2,42,21.5
bkp121t,สวนธนบุรีรมย์,Thonburirom Park,สวนธนบุรีรมย์ เขตทุ่งครุ,"Thonburirom Park, Thung Khru, Bangkok",BKK,13.6502295,100.4909771,2024-05-08,22:00,2,45,22.9
bkp122t,สวนเบญจกิติ,Benjakitti Park,สวนเบญจกิติ เขตคลองเตย,"Benjakitti Park, Khlong Toei, Bangkok",BKK,13.7328791,100.5600172,2024-05-08,22:00,2,34,18.4
bkp123t,สวนสมเด็จพระนางเจ้าสิริกิติ์ฯ,Queen Sirikit Park,สวนสมเด็จพระนางเจ้าสิริกิติ์ฯ เขตจตุจักร,"Queen Sirikit Park, Chatuchak, Bangkok",BKK,13.8055472,100.5488338,2024-05-08,22:00,2,31,17.0
bkp124t,สวนเฉลิมพระเกียรติ 80 พรรษา,80th Anniversary Commemoration Park,สวนเฉลิมพระเกียรติ 80 พรรษา เขตบางกอกน้อย,"80th Anniversary Commemoration Park, Bangkok Noi, Bangkok",BKK,13.7716446,100.4681128,2024-05-08,22:00,2,42,21.7
bkp125t,สวนเสรีไทย,Serithai Park,สวนเสรีไทย เขตบึงกุ่ม,"Serithai Park, Bueng Kum, Bangkok",BKK,13.7855673,100.6733359,2024-05-08,22:00,3,76,31.4
bkp126t,สวนบางแคภิรมย์,Bang Khae Phirom Park,สวนบางแคภิรมย์ เขตบางแค,"Bang Khae Phirom Park, Bang Khae, Bangkok",BKK,13.6863478,100.3844036,2024-05-08,21:00,2,30,16.9
bkp128t,สวนพระนคร,Phra Nakhon Park,สวนพระนคร เขตลาดกระบัง,"Phra Nakhon Park, Lat Krabang, Bangkok",BKK,13.7201042,100.7807077,2024-05-08,22:00,2,39,20.4
bkp129t,สวนหนองจอก,Nong Chok Park,สวนหนองจอก เขตหนองจอก,"Nong Chok Park, Nong Chok, Bangkok",BKK,13.855656,100.8585539,2024-05-08,22:00,2,37,19.6
bkp130t,สวนกีฬารามอินทรา,Ramintra Sports Park,สวนกีฬารามอินทรา เขตบางเขน,"Ramintra Sports Park, Bang Khen, Bangkok",BKK,13.8778763,100.6207085,2024-05-08,22:00,2,41,21.4
bkp131t,สวนสาธารณะเฉลิมพระเกียรติ 6 รอบพระชนมพรรษา,Public Park to commemorate the sixth anniversary of His Majesty the King,สวนสาธารณะเฉลิมพระเกียรติ 6 รอบพระชนมพรรษา เขตบางคอแหลม,"Public Park to commemorate the sixth anniversary of His Majesty the King, Bang Kho Laem, Bangkok",BKK,13.697252,100.497185,2024-05-08,22:00,2,35,18.8
bkp56t,สำนักงานเขตดินแดง กรุงเทพฯ,"Din Dang, Bangkok","ริมถนนวิภาวดีรังสิต, เขตดินแดง, กรุงเทพฯ","Din Dang, Bangkok",BKK,13.7619223,100.558606,2024-05-08,22:00,3,53,25.7
bkp57t,สำนักงานเขตพระโขนง กรุงเทพฯ,"Phra Kanong District Office,  Bangkok","ริมถนนสุขุมวิท เขตพระโขนง, กรุงเทพฯ","Phra Kanong, Bangkok",BKK,13.691511,100.61457,2024-05-08,22:00,3,64,28.5
bkp58t,สำนักงานเขตราษฎร์บูรณะ กรุงเทพฯ,"Rat Burana District Office,  Bangkok","ริมถนนราษฎร์บูรณะ, เขตราษฎร์บูรณะ, กรุงเทพฯ","Rat Burana, Bangkok",BKK,13.6821364,100.5060513,2024-05-08,22:00,3,74,30.8
bkp60t,ริมสวนหย่อมตรงข้ามสำนักงานเขตดุสิต,"Dusit District Office, Bangkok","ริมถนนพระราม 5 เขตดุสิต, กรุงเทพฯ","RamaV Roadside, Dusit, Bangkok",BKK,13.776664,100.520982,2024-05-08,22:00,2,40,20.9
bkp61t,สำนักงานคณะกรรมการพัฒนาเศรษฐกิจและสังคมแห่งชาติ,National Economic and Social Development Council Office,"ริมถนนกรุงเกษม เขตป้อมปราบศัตรูพ่าย, กรุงเทพฯ","Krung Kasem Roadside, Pom Prap Sattru Phai, Bangkok",BKK,13.756281,100.514267,2024-05-08,22:00,3,61,27.7
bkp62t,วงเวียนโอเดียน,Odeon Circus,"ริมถนนตรีมิตร วงเวียนโอเดียน์ เขตสัมพันธวงศ์, กรุงเทพฯ","TheeMitr Roadside, Samphanthawong, Bangkok",BKK,13.737136,100.512734,2024-05-08,22:00,2,49,24.6
bkp63t,แฟลตทหารบก สามเสน,Army Apartment Sam Sen,"ริมถนนพระราม 6 เขตพญาไท, กรุงเทพฯ","RamaVI Roadside, Phaya Thai, Bangkok",BKK,13.783554,100.5344645,2024-05-08,22:00,2,44,22.4
bkp64t,สำนักงานเขตวังทองหลาง,"Wang Thonglang District Office, Bangkok","ริมถนนลาดพร้าว ซอยลาดพร้าว 95 เขตวังทองหลาง, กรุงเทพฯ","Lat Phrao Rd Soi 95, Wang Thonglang, Bangkok",BKK,13.778981,100.622294,2024-05-08,22:00,2,49,24.5
bkp70t,ริมถนนซอยสุขุมวิท 63,"Soi Sukhumwit 63 Roadside Wattana, Bangkok","ริมถนนซอยสุขุมวิท 63 เขตวัฒนา, กรุงเทพฯ","Soi Sukhumwit 63 Roadside, Wattana, Bangkok",BKK,13.722096,100.584559,2024-05-08,22:00,2,43,22.3
bkp72t,บิ๊กซี ซุปเปอร์เซ็นเตอร์ บางนา,Big C Supercenter Bang Na,"ริมถนนบางนา-ตราด เขตบางนา, กรุงเทพฯ","Bang Na-Trat Roadside, Bang na, Bangkok",BKK,13.667987,100.635313,2024-05-08,22:00,3,75,31.2
bkp73t,มหาวิทยาลัยเกษตรศาสตร์,Kasertsart University,"ริมถนนพหลโยธิน แยก ม.เกษตรศาสตร์ เขตจตุจักร, กรุงเทพฯ","Kasertsart Intersection, Chatuchak, Bangkok",BKK,13.839923,100.575632,2024-05-08,22:00,3,59,27.2
bkp75t,สำนักงานเขตสายไหม,"Sai Mai District Office, Bangkok","ริมถนนสุขาภิบาล5 เขตสายไหม, กรุงเทพฯ","Sukhaphiban 5 Roadside, Sai Mai, Bangkok",BKK,13.896035,100.660628,2024-05-08,22:00,3,59,27.0
bkp76t,สำนักงานเขตบางกะปิ,"Bang Kapi District Office, Bangkok","ริมถนนนวมินทร์ แยกบางกะปิ เขตบางกะปิ, กรุงเทพฯ","Navamin Roadside, Bang Kapi, Bangkok",BKK,13.766478,100.647785,2024-05-08,22:00,2,45,23.0
bkp79t,สวนเฉลิมพระเกียรติ ร.9,"Chaloem Phrakiat Rama 9 Park Min buri, Bangkok","ริมถนนสีหบุรานุกิจ เขตมีนบุรี, กรุงเทพฯ","Sihaburanukit Roadside, Meenburi, Bangkok",BKK,13.813578,100.73208,2024-05-08,22:00,3,75,31.2
bkp80t,สำนักงานเขตหนองจอก,"Nong Chok District Office, Bangkok","ริมถนนเลียบวารี เขตหนองจอก, กรุงเทพฯ","Liap Wari Roadsire, Nong Chok, Bangkok",BKK,13.855362,100.86267,2024-05-08,22:00,3,57,26.7
bkp82t,แยกมไหศวรรย์,Mahaisawan Intersection,"ริมถนนรัชดาภิเษก-ท่าพระ เขตธนบุรี, กรุงเทพฯ","Ratchadaphisek Roadside, Thon Buri, Bangkok",BKK,13.70515,100.48465,2024-05-08,22:00,3,65,28.6
bkp83t,ห้องสมุดใต้สะพานสมเด็จพระเจ้าตากสิน,Library under King Taksin Bridge,"ริมถนนเจริญนคร เขตคลองสาน, กรุงเทพฯ","Charoen Nakorn Roadside, Klong San, Bangkok",BKK,13.719705,100.508782,2024-05-08,22:00,3,61,27.7
bkp84t,สี่แยกท่าพระ,Tha phra Intersection,"ริมถนนแยกท่าพระ เขตบางกอกใหญ่, กรุงเทพฯ","Tha phra Intersection, Bangkok Yai, Bangkok",BKK,13.729431,100.474373,2024-05-08,22:00,3,59,27.2
bkp86t,ถนนพุทธมณฑลสาย 1 ตัดกับถนนบรมราชชนนี,Phutthamonthon 1 - Borommaratchachonnani Intersection,"ริมถนนพุทธมณฑล 1 เขตตลิ่งชัน, กรุงเทพฯ","Phutthamonthon 1 Roadside, Taling Chan, Bangkok",BKK,13.780778,100.426727,2024-05-08,22:00,2,46,23.4
bkp87t,ตลาดธนบุรีสนามหลวง 2,Thon Buri Market Sanam Luang 2,"ริมถนนคลองทวีวัฒนา เขตทวีวัฒนา, กรุงเทพฯ","Klong Thawi Watthana Roadside, Thawi Watthana, Bangkok",BKK,13.746257,100.355099,2024-05-08,22:00,3,55,26.2
bkp89t,"ริมถนนมาเจริญ เพชรเกษม 8, เขตหนองแขม","Ma Charean Roadside, Petcha Kasem 8, Nong Khaem","ริมถนนมาเจริญ เพชรเกษม 81 เขตหนองแขม, กรุงเทพฯ","Ma Charean Roadside Nong Khaem, Bangkok",BKK,13.705582,100.343164,2024-05-08,22:00,3,59,27.1
